champion,champion_icon
nidalee,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Nidalee.png
ekko,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Ekko.png
ryze,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Ryze.png
alistar,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Alistar.png
senna,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Senna.png
pyke,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Pyke.png
teemo,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Teemo.png
seraphine,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Seraphine.png
jinx,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Jinx.png
yunara,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Yunara.png
drmundo,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/DrMundo.png
yone,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Yone.png
gnar,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Gnar.png
kogmaw,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/KogMaw.png
zyra,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Zyra.png
gragas,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Gragas.png
morgana,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Morgana.png
rell,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Rell.png
kayn,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kayn.png
xayah,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Xayah.png
sion,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Sion.png
samira,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Samira.png
lissandra,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Lissandra.png
blitzcrank,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Blitzcrank.png
kennen,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kennen.png
syndra,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Syndra.png
missfortune,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/MissFortune.png
karma,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Karma.png
camille,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Camille.png
kassadin,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kassadin.png
kalista,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kalista.png
galio,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Galio.png
aatrox,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Aatrox.png
zilean,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Zilean.png
varus,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Varus.png
cassiopeia,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Cassiopeia.png
velkoz,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Velkoz.png
fiora,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Fiora.png
vi,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Vi.png
briar,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Briar.png
belveth,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Belveth.png
viego,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Viego.png
maokai,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Maokai.png
quinn,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Quinn.png
zac,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Zac.png
fizz,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Fizz.png
yasuo,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Yasuo.png
brand,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Brand.png
xerath,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Xerath.png
chogath,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Chogath.png
darius,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Darius.png
ksante,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/KSante.png
qiyana,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Qiyana.png
reksai,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/RekSai.png
